代碼,id,種類,食物名稱,熱量 (kcal),水分 (g),粗蛋白 (g),粗脂肪 (g),碳水化合物 (g),粗纖維(g),膳食纖維(g),灰分(g),膽固醇(mg),維生素A效力(RE),維生素E效力(αTE),維生素 B1(mg),維生素B2(mg),菸鹼素 (mg),維生素B6(mg),維生素B12(μg),維生素C (mg),鈉 (mg),鉀 (mg),鎂 (mg),磷 (mg),鐵(mg),鋅 (mg),鈣(mg)
E030602,37,蔬菜,冷凍高麗菜,35,93.9,1.3,0.1,Φ,0.6,2.3,0.5,,0,,0.03,0.02,0.05,0.05,,38,21,120,14,22,0.3,0.2,49
E030603,38,蔬菜,高麗菜乾,180,39,7.2,1.1,38.9,8,3,13.9,,0,,0,0,1.07,0.01,,0.6,3854,870,67,143,5.2,0.9,254
E031400,39,蔬菜,甘薯葉,30,91,3.3,0.6,4.1,1,3.1,1,,"1,269.2",,0.03,0,0.44,0.04,,19,21,310,20,30,1.5,0.6,85
E032400,40,蔬菜,包心白菜,12,96.2,1.1,0.2,1.8,0.4,0.9,0.7,,5,,0.01,0.02,0.4,0.06,,19,15,186,10,35,0.4,0.4,41
E033400,41,蔬菜,芹菜,17,94.7,0.9,0.3,3.1,0.7,1.6,1,,71.7,,0,0.04,0.5,0.01,,7,71,320,11,31,0.9,0.3,66
E034400,42,蔬菜,芥菜,19,94.6,0.8,0.5,3.4,0.5,1.6,0.8,,66.7,,0.01,0.05,0.5,0.01,,34,35,180,12,25,1.4,0.3,98
E035400,43,蔬菜,芥藍,26,92,2.4,0.5,3.9,0.8,1.9,1.2,,717.5,,0,0.01,0.18,0.04,,,55,222,33,39,1.9,0.4,238
E036400,44,蔬菜,芫荽,28,91,2.5,0.4,4.6,0.9,2.5,1.5,,"1,033.3",,0.02,0.1,0.6,0.01,,63,29,480,23,37,3,0.4,104
E037400,45,蔬菜,空心菜,24,92.8,1.4,0.4,4.3,0.8,2.1,1.2,,378.3,,0.01,0.1,0.7,0.03,,14,52,440,21,37,1.5,0.7,78
E038400,46,蔬菜,油菜,14,95.4,1.5,0.4,1.9,0.5,1.3,0.9,,370,,0.01,0.06,0.6,0.02,,21,59,280,15,38,1.5,0.7,105
E039400,47,蔬菜,青江菜,16,94.8,1.7,0.3,2.2,0.5,2.1,0.9,,198.3,,0.01,0.07,0.5,0.02,,32,37,280,17,28,1.7,0.5,80
E040400,48,蔬菜,美國芹菜,13,96,0.4,0.2,2.6,0.4,1,0.8,,26.7,,0.01,0.02,0.2,0.01,,3,100,230,10,22,0.3,0.2,36
E041400,49,蔬菜,美國空心菜,22,93.1,2.2,0.3,3.5,0.8,2.1,0.9,,"2,353.3",,0,0.24,0.4,,,78,20,300,55,37,1.1,0.3,68
E042400,50,蔬菜,茼蒿,16,95,1.8,0.5,1.7,0.5,1.6,1,,503.3,,0.03,0.03,0.5,0.08,,7,53,390,16,25,3.3,1.1,40
E043400,51,蔬菜,香芫荽,23,93,2.4,0.2,3.9,0.8,2.2,0.5,,441.7,,0.01,0.1,0.7,0.04,,54,74,230,22,47,2.9,0.7,91
E044400,52,蔬菜,紅鳳菜,25,92.6,1.9,0.6,3.7,0.9,3.1,1.2,,"1,919.2",,0.01,0.1,0.1,0.03,,15,24,260,54,34,4.1,0.3,142
E045400,53,蔬菜,皇冠菜,40,88.4,3.1,0.5,7.2,1.3,2.6,0.8,,703.3,,0.02,0.2,0.3,,,67,49,290,53,41,2.8,0.5,168
E046400,54,蔬菜,紅莧菜,22,92,3,0.3,3,0.7,2.6,1.7,,1690,,0.01,0.16,0.4,0.07,,21,14,380,60,53,12,0.7,191
E047400,55,蔬菜,荷蘭豆菜心,30,90.9,3.9,0.6,3.8,1,2.8,0.8,,"3,470.8",,0.02,0.25,0.5,,,92,9,320,23,84,1.1,0.6,33
E048400,56,蔬菜,莧菜,18,93.9,2.2,0.6,1.9,0.6,2.2,1.4,,214.2,,0.03,0.07,0.4,0.01,,15,25,530,37,54,4.9,0.4,156
E049400,57,蔬菜,菠菜,22,93,2.1,0.5,3,0.8,2.4,1.4,,638.3,,0.05,0.08,0.5,0.01,,9,54,460,58,45,2.1,0.6,77
E049601,58,蔬菜,冷凍菠菜,17,94.1,2.1,0,2.9,0.8,2.1,0.8,,923.3,,0.02,0.06,0.07,0.02,,8.5,46,180,38,32,0.8,0.4,78
E050400,59,蔬菜,紫甘藍,28,92,1.4,0.3,5.7,0.9,2.2,0.7,,4.5,,0.02,0.06,0.3,0.09,,41,18,230,15,36,0.3,0.2,37
E051400,60,蔬菜,萵苣,11,96.9,0.6,0.3,1.9,0.4,0.8,0.3,,0,,0.02,0.06,0.3,0.01,,2,12,130,8,28,0.4,0.2,24
E052400,61,蔬菜,萵苣葉,16,95,1.7,0.4,2.1,0.6,1.7,0.8,,647.5,,0.05,0.06,0.4,0.01,,14,49,240,21,30,2.4,0.3,34
E053400,62,蔬菜,厥子,23,93,2.3,0.2,3.9,0.8,5.7,0.6,,207.5,,0,0.1,2.4,0.03,,2,3,320,20,65,0.9,1.4,11
E054400,63,蔬菜,黑甜菜,26,91,3.8,0.3,3.4,0.7,2.5,1.5,,792.5,,0.09,0.17,0.6,0.07,,35,32,340,60,41,6.7,0.4,238
E055400,64,蔬菜,龍鬚菜,17,94,3,0.2,2,0.8,1.9,0.8,,384.2,,0.03,0.11,0.3,0.03,,8,9,250,19,65,1.6,0.8,29
E056400,65,蔬菜,鵝仔白菜,13,96,1.6,0.5,1.1,0.5,1.4,0.8,,295.8,,0.02,0.03,0.3,0.03,,6,25,340,13,35,1.5,0.2,28
E057400,66,蔬菜,花椰菜,23,93,2,0.1,4.2,0.8,2.2,0.7,,1.2,,0.03,0.02,0.6,0.08,,73,17,240,11,36,0.4,0.3,28
E057401,67,蔬菜,冷凍花椰菜,21,93.8,1.3,0.1,4.5,0.8,3.2,0.4,,0.7,,0.02,0.01,0,0.03,,47,33,120,10,29,0.4,0.3,21
E058400,68,蔬菜,青花菜,31,90,4.3,0.2,4.6,1.2,2.7,0.9,,103.3,,0.07,0.09,0.3,0.09,,69,21,340,22,67,0.8,0.5,47
E058601,69,蔬菜,冷凍青花菜,28,91.6,3,0.3,4.4,1,2.6,0.7,,130,,0.15,0.07,0.07,0.1,,57,7,200,15,44,0.5,0.6,33
E059400,70,蔬菜,韭菜花,28,92,2,0.3,5.2,1,2.3,0.5,,500,,0.05,0.07,0.7,0.06,,18,7,200,13,35,0.4,0.3,21
E060400,71,蔬菜,金針菜,32,91,1.8,0.4,6.2,0.9,2.5,0.6,,495,,0.03,0.05,0.3,0.01,,28,3,200,16,38,0.3,0.4,19
E061400,72,蔬菜,絲瓜花,31,90,3.9,0.3,4.8,1.2,3.1,1,,315,,1.49,0.16,0.2,,,35,6,320,37,86,0.9,0.6,65
E062400,73,蔬菜,油菜花,31,91.1,3.2,0.9,4,0.9,2.3,0.9,,"1,420.3",,0.04,0.33,0.8,0.01,,93,21,240,23,57,1.8,0.5,92
E063400,74,蔬菜,冬瓜,13,96.4,0.5,0.2,2.6,0.5,1.1,0.3,,0,,0.01,0.02,0.4,0.01,,25,5,120,8,25,0.2,0.1,6
E064400,75,蔬菜,玉米筍,27,92,2,0.2,5.3,0.7,2.4,0.6,,8.3,,0.02,0.7,0.6,0.05,,12,2,190,25,56,3.9,0.5,14
E065400,76,蔬菜,花胡瓜,15,95.6,1.2,0.3,2.5,0.5,0.9,0.5,,21.7,,0.02,0.03,0.3,0.01,,14,6,170,15,31,0.3,0.2,30
E066400,77,蔬菜,苦瓜,18,94.7,0.8,0.2,3.7,0.6,1.9,0.6,,2.3,,0.03,0.02,0.5,0.06,,19,11,160,14,41,0.3,0.2,24
E067400,78,蔬菜,茄子,25,93,1.3,0.4,4.7,0.9,2.3,0.6,,3.3,,0.07,0.03,1.2,0.02,,6,4,200,14,28,0.4,0.2,18
E068400,79,蔬菜,胡瓜,17,95.2,0.9,0.2,3.4,0.4,0.9,0.3,,28.3,,0,0.02,0.5,0.01,,8,8,90,10,13,0.2,0.2,16
E069400,80,蔬菜,南瓜,64,82.3,2.4,0.2,14.2,0.6,1.7,0.8,,874.2,,0.12,0.03,0.8,0.04,,3,1,320,14,42,0.4,0.4,9
E070400,81,蔬菜,甜椒,25,93.1,0.8,0.2,5.5,0.9,2.2,0.4,,36.7,,0.03,0.03,0.8,0.08,,94,11,130,11,26,0.4,0.2,11
E071400,82,蔬菜,隼人瓜,22,94,0.9,0.3,4.5,0.5,1.3,0.3,,0,,0,0.02,0.3,,,1,19,90,10,23,0.1,0.1,22
E072400,83,蔬菜,黃秋葵,40,88.9,2.4,0.2,8.3,1,4.1,0.2,,375,,0,0.12,0.9,0.02,,15,16,220,54,58,0.9,0.7,104
E073400,84,蔬菜,絲瓜,17,95.2,1,0.2,3.4,0.4,0.6,0.3,,0,,0.01,0.02,0.2,0.05,,6,0,60,9,26,0.2,0.2,10
E074400,85,蔬菜,葫蘆瓜,20,94.8,0.5,0.3,4.1,0.4,1.3,0.3,,2.6,,0.01,0.04,0.2,0.02,,22,0,90,7,16,0.2,0.2,16
E075400,86,蔬菜,蒲瓜,18,95,0.4,0.1,4.2,0.4,1.2,0.3,,13.3,,0.03,0.02,0.3,0.01,,12,3,90,9,20,0.2,0.2,18
E076400,87,蔬菜,辣椒,61,83,2.2,0.2,13.7,4.5,6.8,0.9,,370,,0.17,0.15,2.1,,,141,36,330,24,55,7.4,0.3,16
E077400,88,蔬菜,澎湖絲瓜,18,95,0.9,0.3,3.5,1.4,1.8,0.4,,10.5,,0.02,0.2,0.2,0.04,,2,10,120,13,41,3.4,0.5,13
E078400,89,蔬菜,雪裡紅,20,94,1.5,0.2,3.8,0.7,1.9,0.5,,338.3,,0.02,0.05,0.2,0.02,,29,19,280,11,25,0.9,0.9,64
E079400,90,蔬菜,梅乾菜,62,60.2,3.6,0.3,12.8,3.3,8.4,23.1,,488.3,,0.02,0.04,0.5,,,,7890,500,34,40,14.6,1,259
E080500,91,蔬菜,榨菜,28,87,1.5,0.5,5.2,1.1,3.5,5.8,,29.2,,0,0.04,0.1,0.07,,,2167,70,10,18,3,0.2,41
E081400,92,蔬菜,醃瓜,16,93,1.1,0.2,3.1,0.2,1.3,2.7,,5,,0.03,0.01,0.1,0.03,,18,873,170,13,20,0.3,0.2,28
E082400,93,蔬菜,鹹菜,14,90.6,0.9,0.4,2.2,0.9,1.9,5.9,,6.7,,0.02,0.02,0.6,0.1,,10,1955,180,11,20,1,0.3,49
E083300,94,蔬菜,花瓜,82,73.9,2.9,0.1,18.9,0.8,1,4.2,0,0,0.08,0.01,0.08,1.9,0.24,,0.6,1458,122,18,46,3.4,0.3,13
E084400,95,蔬菜,蕃茄,26,92.9,0.9,0.2,5.5,0.6,1.2,0.5,,84.2,,0.02,0.02,0.6,0.06,,21,9,210,12,20,0.3,0.2,10
E084501,96,蔬菜,蕃茄汁,21,93.8,0.7,0.2,4.4,0.5,0.3,0.8,,100.1,,0.03,0.01,0.31,0.06,,5.6,98,170,13,15,1,0.1,9
E086500,97,蔬菜,山芋,124,72.3,2.8,3.4,20.6,0.7,3.3,0.9,,20,,0.03,0.05,1.1,0.05,,7,,,,,,,0
E087600,98,蔬菜,山芹菜,27,92.6,2.8,2.2,0.4,3.6,1.7,2,,663.7,,0.01,0.02,0.39,0.01,,17.6,26,400,70,61,7.8,1,222
E088600,99,蔬菜,山藥,73,82.1,1.9,2.2,12.8,0.3,1,1,,0,,0.03,0.02,0.11,,,4.2,9,370,13,32,0.3,0.3,5
E089600,100,蔬菜,白皮蛇瓜,19,94.5,1.4,0.3,3.2,0.6,1.2,0.6,,20,,0.06,0,0.15,0.04,,8.5,22,200,15,31,0.9,0.3,25
E090600,101,蔬菜,白鳳菜,27,91.5,2,0.4,4.8,3.3,3.3,1.3,,573.3,,0.06,0.85,0.76,0.03,,24.5,28,380,41,42,1.3,0.4,82
E091600,102,蔬菜,角菜,41,87.3,2.7,0.5,7.7,1.8,6.1,1.9,,810,,0.07,0.1,0.45,0.03,,19.7,6,530,43,64,4.7,0.5,99
E092600,103,蔬菜,豆瓣菜,21,93.1,2.2,0.3,3.2,0.3,2,1.3,,688.3,,0.08,0.11,0.16,0.05,,43.7,45,340,20,56,2.3,0.6,98
E093600,104,蔬菜,芥藍菜嬰,26,92.2,2.2,0.5,4.2,1,2.6,0.9,,6.7,,0.04,0.05,0.8,0.05,,14,5,140,20,44,0.6,0.4,14
E094600,105,蔬菜,青葙,50,86.5,2.5,1.6,7.7,1.7,3.3,1.7,,"1,176.7",,0.03,0.02,0.62,0.1,,9.2,44,360,102,50,2.2,0.6,192
E095600,106,蔬菜,昭和草,26,91.9,2.2,0.7,3.8,,,1.4,,1905,,0.04,0,0.51,0.01,,2.6,9,520,20,37,4.2,0.3,83
E096600,107,蔬菜,紅梗珍珠菜,34,90.3,2.5,1.6,3.5,1.5,6.7,2.1,,798.3,,0.05,0.02,1.05,0.84,,13,17,570,64,84,4.2,0.7,155
E097600,108,蔬菜,食茱萸,127,60.2,11.9,0.3,23.8,0.9,16.8,3.8,,2410,,0.41,0.1,1.26,0.02,,116.8,5,640,58,77,23.9,1.3,721
E098600,109,蔬菜,香樁,99,72.1,4.3,1.5,19.4,2.8,5.9,2.7,,"1,222.5",,0.12,0.04,2.71,0.02,,255,17,400,67,126,3.7,1.2,514
E099600,110,蔬菜,馬齒莧,14,95.6,1.2,0.4,1.9,1.4,0.4,0.9,,426.7,,0.02,0,0.14,0.08,,6.8,94,170,62,23,1.3,0.4,54
E100600,111,蔬菜,高麗菜芽,33,91,2.2,1,5,1.1,0.7,0.9,,85.5,,0.05,0.07,0.27,0.07,,72.6,18,280,17,55,0.7,0.4,69
E101600,112,蔬菜,假人蔘,32,92.6,1.6,2.2,2.2,2.8,1,1.3,,577.5,,0.01,0.01,0.2,0.01,,8.7,17,330,84,28,4.2,0.3,62
E102600,113,蔬菜,野苦瓜,36,90.2,2.4,1.2,5.1,2.5,5.1,1.2,,118,,0.01,0.01,0,0.11,,87,11,450,49,40,1.2,0.5,65
E103600,114,蔬菜,野苦瓜嫩梢,77,77.7,5.7,1.7,12.2,4.9,8.8,2.7,,951.7,,0.02,0.04,0.72,0.22,,86.2,16,650,99,89,8.5,0.9,459
E104600,115,蔬菜,野莧,41,85.9,6.3,0.6,4.9,1.2,4.3,2.3,,928.3,,0,0,0.02,0.06,,11,20,400,186,91,4.8,1,336
E105600,116,蔬菜,魚腥草,46,86.2,3.2,0.9,7.7,5.8,1.9,2.1,,459.8,,0.01,0.01,0.86,0.07,,41.5,23,500,66,48,8.4,0.7,79
E106600,117,蔬菜,過溝菜蕨,30,92,3.3,1.6,2.1,0.9,2.9,1,,195,,0,0.01,2.1,0.01,,0.1,11,350,28,74,1.7,0.7,19
E107600,118,蔬菜,嘉寶瓜,43,88.7,0.8,0.2,10,0.2,0.4,0.3,,396.8,,0.03,0.03,0.07,,,6.9,9,80,7,18,0.5,0.2,3
E108600,119,蔬菜,綠皮蛇瓜,32,91.4,1.9,0.6,5.6,0.9,2.9,0.5,,9,,0.05,0,0.21,0.01,,10.5,10,160,15,31,0.5,0.3,27
E109600,120,蔬菜,翠玉白菜,21,95.3,1,1.3,1.8,0.7,1.1,0.6,,2.7,,0.03,0,0.44,0.04,,19,47,140,10,33,0.5,0.3,46
E110600,121,蔬菜,翠玉白菜芽,120,69.1,1.5,0.9,27.9,0.6,0.7,0.6,,2.2,,0.03,0,0.48,0.03,,17.4,27,190,10,45,0.4,0.3,34
E111600,122,蔬菜,龍延草,79,77.7,3.9,2.3,12.7,5,0.7,3.4,,929.6,,0.05,0.26,0.84,0.03,,30.1,22,780,140,123,7.5,1.9,424
E112600,123,蔬菜,薄荷,55,83.4,3.1,0.6,10.9,2.2,7.5,2.1,,"2,266.7",,0.01,0.13,0.59,0.01,,63.9,14,520,68,46,11,0.5,188
E113600,124,蔬菜,蕗蕎,10,90.6,0.5,0.2,1.9,0.7,1.8,6.8,,0,,0,0.01,0.09,7.3,,1.6,2586,90,14,33,1.6,0.3,35
E114600,125,蔬菜,藤三七,29,92.4,2,1.3,3.3,0.4,1.2,1,,429.2,,0.08,0.01,0.34,0.14,,20.1,37,420,77,27,4.5,0.7,132
E115600,126,蔬菜,蘆薈,4,99.1,0.1,0.4,0.2,0.1,1.4,0.2,,0,,0,0,0.07,0.03,,1.5,18,30,7,2,0.1,0,36
,127,蔬菜,車前草,,79,4,1,,3.3,,,,,,,,,,,,,,,175,,0,309
,128,蔬菜,黃鵪菜,,75,6,1,,11.25,,,,,,,,,,,,,,,59.5,,0,674
,129,蔬菜,桑葉,,88.4,0,0,,0.2,,,,,,,,,,,,,,,30,,0,218
H029400,130,豆類,米豆,358,8.7,20.8,2.6,64.9,2.8,9.4,3,,0,0.43,1,0.08,2.09,0.35,,1.1,35,1033,161,462,7.8,3.9,64
H030400,131,豆類,毛豆,125,68.8,14,3.1,12.5,2.4,4.9,1.6,,17.5,,0.34,0.09,1,0.07,,16,0,620,63,189,2.5,1.8,38
H030601,132,豆類,冷凍毛豆,132,70.6,11.5,6.3,9.6,2.6,6,2,,42.3,,0.12,0.03,0.19,0.04,,10,640,230,64,144,2.6,1.3,84
H031400,133,豆類,花豆,333,13.4,19,1.2,63.1,3.8,16.1,3.2,,1.1,0.38,0.29,0.12,1.73,0.81,,1.7,30,930,161,456,9,2.9,89
H032400,134,豆類,花豆,172,55.1,11.7,0.6,30.9,1.8,9.7,1.7,,10.4,,0.24,0.64,1.1,0.06,,33,14,500,17,46,2.1,2.1,46
H033400,135,豆類,花蓮豆,49,87,3.2,0.2,9,0.8,4.8,0.6,,85.8,,0.14,0.07,0.5,0.04,,54,5,160,25,68,0.9,0.7,46
H034400,136,豆類,皇帝豆,108,71,8.7,0.4,18.3,1.6,5.1,1.6,,7.3,,0.1,0.03,0.7,0.08,,22,8,680,71,140,14.1,1.1,19
H035400,137,豆類,紅豆,332,12.6,22.4,0.6,61.3,4.2,12.3,3.1,,0,0.63,0.43,0.1,2.06,0.66,,2.4,3,988,177,493,9.8,3.8,115
H036400,138,豆類,粉豆,26,93,1.9,0.2,4.4,0.7,2,0.5,,56.7,,0.03,0.08,0.4,0.03,,10,14,210,22,35,5.5,0.4,33
H037400,139,豆類,敏豆,34,90.4,1.9,0.2,7,0.8,2.5,0.5,,0,,0.05,0.06,0.7,0.03,,13,8,200,23,45,0.6,0.5,41
H038500,140,豆類,甜豌豆,41,88,3.2,0.2,8,1,2.7,0.6,,93.3,,0.06,0.77,0.5,0.03,,33,6,160,23,64,8.5,0.4,43
H039400,141,豆類,菜豆,30,91.1,2.2,0.1,6.1,1,2.8,0.5,,38.3,,0.07,0.08,0.9,0.04,,22,3,160,29,42,0.8,0.6,27
H039601,142,豆類,冷凍菜豆,61,82.4,4.2,0.2,12.4,1.6,1.2,0.8,,162.5,,0.05,0.05,0.14,0.01,,10.4,4,210,32,47,2.4,0.4,76
H040400,143,豆類,黃豆,384,11.9,35.9,15.1,32.7,4.6,15.8,4.4,,0,2.34,0.71,0.17,1.02,0.72,,0,2,1763,219,494,5.7,2,217
H041400,144,豆類,黃豆,394,10.7,35.3,16.3,33.2,11.2,13.3,4.5,,3.8,,0.07,0.25,1.2,,,,22,1570,212,396,7.4,3.4,171
H041501,145,豆類,豆漿,64,85.4,2.7,1.6,10,0.2,3,0.3,,0,,0.02,0.01,6.07,0.01,,0,42,47,9,35,0.4,0.2,11
H042400,146,豆類,黃豆粉,401,9.4,37.4,16.7,32.2,1.9,13.1,4.3,,0,2.22,0.86,0.12,1.18,0.52,,0,2,1647,206,563,3.7,4.6,144
H043400,147,豆類,黑豆,371,12,34.6,11.6,37.7,5.4,18.2,4.1,,341.4,2.1,0.65,0.18,1.99,0.67,,0,3,1639,231,423,4.3,1.5,178
