代碼,id,種類,食物名稱,熱量 (kcal),水分 (g),粗蛋白 (g),粗脂肪 (g),碳水化合物 (g),粗纖維(g),膳食纖維(g),灰分(g),膽固醇(mg),維生素A效力(RE),維生素E效力(αTE),維生素 B1(mg),維生素B2(mg),菸鹼素 (mg),維生素B6(mg),維生素B12(μg),維生素C (mg),鈉 (mg),鉀 (mg),鎂 (mg),磷 (mg),鐵(mg),鋅 (mg),鈣(mg)
D006400,182,水果,香吉士,58,86.1,0.8,0.9,11.9,0.7,3,0.4,,3.3,,0.07,0.04,0.3,0.02,,92,2,130,11,22,0.2,0.1,38
D007400,183,水果,桔子,32,91,0.7,0.2,7.6,0.5,2.2,0.5,,21.7,,0.01,0.04,0.4,0.01,,38,4,110,13,15,0.3,0.1,68
D008400,184,水果,海梨,40,89,0.9,0.3,9.5,0.5,2.1,0.3,,26.5,,0.04,0.04,0.2,0.03,,48,12,70,13,20,0.5,0.1,21
D009400,185,水果,葡萄柚,33,90.9,0.7,0.3,7.8,0.3,1.2,0.3,,46.7,,0.05,0.01,0.2,0.01,,38,7,60,9,17,0.1,0.1,21
D009501,186,水果,葡萄柚汁,37,89.7,0.2,0.2,9.7,0.2,0.5,0.2,,5.2,,0,0.01,0.09,0,,34.3,24,51,3,20,0.2,0.1,7
D010400,187,水果,檸檬,32,91,0.8,0.3,7.5,0.3,1,0.4,,0,,0.04,0.02,0.12,0.01,,27,6,120,10,24,0.2,0.1,33
D011400,188,水果,五爪蘋果,50,86,0.1,0.1,13.4,0.6,1.6,0.3,,3.8,,0,0,0.18,0.01,,2.1,4,100,4,11,0.1,0,3
D012400,189,水果,青玉蘋果,45,87.6,0.5,0.3,11.4,0.6,1.8,0.3,,9.7,,0.02,0.02,0.4,0.03,,2.5,7,110,4,10,0.1,0.1,5
D013400,191,水果,青龍蘋果,53,85.3,0.3,0.3,13.7,0.5,1.6,0.4,,356.7,,0,0.01,0.1,0,,2,10,130,5,12,0.1,0,5
D014400,192,水果,富士蘋果,46,87,0.3,0.2,12.1,0.5,1.2,0.4,,4.2,,0,0.01,0.2,0.05,,2,3,110,4,11,0.2,0.1,5
D015400,193,水果,土芒果,55,85,0.6,0.5,13.6,0.6,0.8,0.3,,57.1,,0.04,0.05,0.7,0.07,,26,4,80,9,12,0.3,0.1,8
D016400,194,水果,金煌芒果,59,83.8,1.1,0.4,14.4,0.6,1.1,0.3,,88.3,,0.02,0.04,0.4,0.01,,12,15,90,10,12,0.2,0.1,5
D017400,195,水果,海頓芒果,60,83.3,0.4,0.2,15.7,0.6,1.7,0.3,,533.3,,0.01,0.04,0.7,,,16,4,120,10,15,0.2,0.2,6
D018400,196,水果,愛文芒果,40,89,0.2,0.3,10.2,0.6,0.8,0.3,,355,,0.02,0.04,0.6,0.07,,21,4,90,7,14,0.1,0.1,5
